day,vis,tmp,dew,slp,wnd_direc,wnd_scale,pm25,pm10,o3,no2,so2,co,AQI,Determining_Pollutant
2019-04-15,10458.181818181818,19.869642857142857,-1.1482142857142856,1009.8125,176.1969221548043,34.58934851717484,133.0,81.0,78.0,17.0,4.0,6.0,176,pm25
2019-04-16,7092.592592592592,18.792857142857144,6.935714285714285,1006.475,127.03423101433786,25.60276032742279,160.0,91.0,94.0,28.0,5.0,9.0,211,pm25
2019-04-17,6570.909090909091,21.826785714285712,7.046428571428572,1000.875,56.41341305574146,6.354696245316532,183.0,141.0,37.0,10.0,1.0,5.0,234,pm25
2019-04-18,11455.357142857143,15.980357142857144,-2.821428571428572,1017.0875,76.25378059918421,19.99261185930736,121.0,62.0,33.0,11.0,1.0,3.0,159,pm25
2019-04-19,11230.107142857143,13.87142857142857,-0.472727272727273,1016.7625,184.7593656683947,19.615783963565,83.0,54.0,16.0,22.0,,5.0,111,pm25
2019-04-20,7989.053571428572,11.091071428571428,7.723214285714286,1013.2125,124.75769060018987,7.300574955474702,122.0,109.0,44.0,22.0,3.0,8.0,161,pm25
2019-04-21,8503.636363636364,15.110714285714286,3.444642857142857,1014.2,138.10796487787755,25.826701863046868,156.0,84.0,94.0,22.0,2.0,8.0,207,pm25
2019-04-22,5054.545454545455,19.21785714285713,11.530357142857143,1009.425,168.6158454364612,26.81417799921813,176.0,60.0,39.0,12.0,1.0,6.0,227,pm25
2019-04-23,6262.5,21.210714285714285,15.303571428571429,1007.8375,136.08123072222494,25.41803734611775,168.0,27.0,26.0,14.0,,6.0,219,pm25
2019-04-24,10042.267857142857,9.162499999999998,6.3375,1014.8625,18.823072917830967,45.20580058202616,104.0,25.0,41.0,6.0,,1.0,136,pm25
2019-04-25,11617.67857142857,13.296428571428573,2.0928571428571425,1017.225,255.33350158895416,12.715232693472275,71.0,45.0,46.0,8.0,,2.0,95,pm25
2019-04-26,10691.07142857143,14.882142857142856,4.005357142857142,1020.725,202.49108436525765,18.435593660302853,109.0,44.0,35.0,11.0,,3.0,143,pm25
2019-04-27,8582.867924528302,10.033928571428572,6.826785714285713,1021.1,162.82572252392373,26.86265947372322,110.0,50.0,39.0,9.0,,4.0,144,pm25
2019-04-28,6932.6,13.212500000000002,7.960714285714286,1016.075,160.2146081762623,21.55607715591052,135.0,61.0,66.0,16.0,1.0,8.0,179,pm25
2019-04-29,4723.214285714285,16.3375,9.591071428571428,1010.3125,257.1675668887241,17.498616559081466,180.0,80.0,39.0,12.0,,4.0,231,pm25
2019-04-30,11717.857142857143,18.45892857142857,-2.330357142857143,1012.0875,335.9307177305712,40.97565048807289,167.0,38.0,47.0,11.0,,1.0,218,pm25
2019-05-01,12039.285714285714,21.121428571428574,-3.963636363636364,1013.175,267.2695026746423,18.95791957088713,145.0,57.0,65.0,18.0,1.0,3.0,193,pm25
2019-05-02,10985.714285714286,22.7,-0.6749999999999999,1012.8125,211.21844356265424,28.29529051508012,214.0,73.0,89.0,19.0,4.0,5.0,264,pm25
2019-05-03,10110.714285714286,23.03928571428571,6.471428571428571,1013.6,180.5779503486104,24.214873669922497,161.0,67.0,101.0,12.0,4.0,5.0,212,pm25
2019-05-04,10164.285714285714,21.946428571428573,8.248214285714285,1013.1625,19.98620942415831,9.82701623047978,145.0,47.0,40.0,7.0,,2.0,193,pm25
2019-05-05,11825.0,15.958928571428572,-5.716363636363636,1024.0375,17.84384361818626,43.28870794588574,78.0,36.0,46.0,13.0,,2.0,105,pm25
2019-05-06,11842.857142857143,18.651785714285715,-5.153571428571429,1019.725,261.88042812040703,23.72500116698356,79.0,50.0,52.0,16.0,1.0,2.0,106,pm25
